Property Name,Address,Area,Rental price,Property Type,Carpet area(sq ft),Contact,Maps link,url
Ready to move Office Space,"in HAL 2nd Stage, Indira Nagar",N/A,₹300000/Month,Other,3000,Available after login,https://www.google.com/maps/search/?api=1&query=in%20HAL%202nd%20Stage%2C%20Indira%20Nagar,https://www.99acres.com/ready-to-move-office-space-for-rent-lease-in-hal-2nd-stage-bangalore-east-3000-sq-ft-r1-spid-H82148416
Ready to move Office Space,"in Sahakara Nagar, Kodigehalli, Sahakara Nagar",N/A,₹55000/Month,Commercial,1200,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Sahakara%20Nagar%2C%20Kodigehalli%2C%20Sahakara%20Nagar,https://www.99acres.com/ready-to-move-office-space-for-rent-lease-in-kodigehalli-bangalore-north-1200-sq-ft-spid-P81546861
Bare Shell Office Space,"in Bommasandra Industrial Area, Bangalore",18200,₹728000/Month,Commercial,N/A,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Bommasandra%20Industrial%20Area%2C%20Bangalore,https://www.99acres.com/bare-shell-office-space-for-rent-lease-in-bommasandra-industrial-area-bangalore-south-18200-sq-ft-r1-spid-G81286149
Bare Shell Office Space,"in Meghdoot Mansion, Langford Town, Shanti Nagar, Bangalore",24000,Price on Request,Commercial,N/A,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Meghdoot%20Mansion%2C%20Langford%20Town%2C%20Shanti%20Nagar%2C%20Bangalore,https://www.99acres.com/bare-shell-office-space-for-rent-lease-in-langford-town-bangalore-central-24000-sq-ft-spid-X82306518
Commercial Showrooms for Lease,"in Nagarbhavi, Bangalore",N/A,N/A,N/A,2000,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Nagarbhavi%2C%20Bangalore,https://www.99acres.com/showroom-for-rent-lease-in-nagarbhavi-bangalore-west-2100-sq-ft-spid-Z80613899
Bare Shell Office Space,"in RBG Nilaya, Sector 1 HSR Layout, Bangalore",300,₹50000/Month,Commercial,280,Available after login,https://www.google.com/maps/search/?api=1&query=in%20RBG%20Nilaya%2C%20Sector%201%20HSR%20Layout%2C%20Bangalore,https://www.99acres.com/bare-shell-office-space-for-rent-lease-in-sector-1-hsr-layout-bangalore-south-300-sq-ft-spid-D81430519
Ready to move Office Space,"in GD Tower, Domlur, Bangalore",28560,₹620000/Month,Commercial,8233,Available after login,https://www.google.com/maps/search/?api=1&query=in%20GD%20Tower%2C%20Domlur%2C%20Bangalore,https://www.99acres.com/ready-to-move-office-space-for-rent-lease-in-domlur-bangalore-east-28560-sq-ft-r4-spid-L75948521
Commercial Land/Inst. Land for Lease,"in Nagarbhavi, Bangalore",N/A,N/A,N/A,N/A,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Nagarbhavi%2C%20Bangalore,https://www.99acres.com/commercial-institutional-land-for-rent-lease-in-nagarbhavi-bangalore-west-267-sq-yard-spid-U80272413
Commercial Land/Inst. Land for Lease,"in Devanahalli, Bangalore",N/A,N/A,N/A,N/A,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Devanahalli%2C%20Bangalore,https://www.99acres.com/commercial-institutional-land-for-rent-lease-in-devanahalli-bangalore-north-4778-sq-yard-spid-C83184888
WareHouse for Lease,"in Kothanur, Near Hennur, Bangalore",N/A,N/A,N/A,N/A,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Kothanur%2C%20Near%20Hennur%2C%20Bangalore,https://www.99acres.com/warehouse-for-rent-lease-in-kothanur-bangalore-north-5000-sq-ft-spid-Y83251168
Bare Shell Office Space,"in Vijay Nagar, Bellari Road",2100,₹80000/Month,Commercial,N/A,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Vijay%20Nagar%2C%20Bellari%20Road,https://www.99acres.com/bare-shell-office-space-for-rent-lease-in-vijay-nagar-bangalore-north-2100-sq-ft-spid-L84078302
Ready to move Office Space,"in 5th Phase JP Nagar, Bangalore",N/A,₹135000/Month,Commercial,1200,Available after login,https://www.google.com/maps/search/?api=1&query=in%205th%20Phase%20JP%20Nagar%2C%20Bangalore,https://www.99acres.com/ready-to-move-office-space-for-rent-lease-in-5th-phase-jp-nagar-bangalore-south-1200-sq-ft-r1-spid-W73656725
Bare Shell Office Space,"in Kengeri Upanagara, Ramasandra, Bangalore",12000,₹400000/Month,Commercial,N/A,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Kengeri%20Upanagara%2C%20Ramasandra%2C%20Bangalore,https://www.99acres.com/bare-shell-office-space-for-rent-lease-in-kengeri-upanagara-bangalore-west-12000-sq-ft-spid-H83356478
Commercial Showrooms for Lease,"in Basavangudi, Bangalore",N/A,N/A,N/A,1500,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Basavangudi%2C%20Bangalore,https://www.99acres.com/showroom-for-rent-lease-in-basavangudi-bangalore-south-1500-sq-ft-spid-N82924770
